DATE,Average Wind Speed,PRCP,TMAX,TMIN,Fastest 2 minute wind speed,Fastest 5 second wind speed,Fog/Ice,Heavy/Freezing Fog,Thunder,Smoke/Haze,Power Outage
1/1/2010,10.74,0,26,14,21.9,28,,,,,
1/2/2010,11.18,0,14,5,23.9,35.1,,,,,
1/3/2010,12.3,0,23,4,23,30,,,,,
1/4/2010,9.4,0,25,19,16.1,21.9,,,,1,
1/5/2010,8.5,0,28,22,15,21.9,1,,,1,
1/6/2010,7.61,0,28,25,14.1,18.1,1,,,,
1/7/2010,2.68,0.22,26,20,8.1,10.1,1,1,,,
1/8/2010,10.29,0.02,23,17,18.1,25.1,1,,,,
1/9/2010,5.59,0,25,-3,10.1,15,,,,,
1/10/2010,8.28,0,26,-9,21.9,25.1,,,,,
1/11/2010,6.93,0.01,25,13,17,23,,,,1,
1/12/2010,7.61,0,25,15,14.1,18.1,,,,,
1/13/2010,11.18,0,31,21,18.1,23,,,,,
1/14/2010,9.4,0,37,22,16.1,21.9,,,,1,
1/15/2010,5.37,0,37,31,16.1,21.9,1,,,1,
1/16/2010,6.93,0,33,27,13,17,1,,,1,
1/17/2010,1.12,0,34,19,10.1,14.1,1,1,,1,
1/18/2010,6.04,0,31,22,12.1,15,1,,,1,
1/19/2010,4.47,0,34,29,12.1,15,1,,,1,
1/20/2010,7.61,0,31,22,13,17,,,,,
1/21/2010,9.84,0,35,19,18.1,25.9,,,,,
1/22/2010,6.71,0,37,29,13,19.9,,,,1,
1/23/2010,6.93,0,37,32,13,16.1,,,,1,
1/24/2010,8.95,0.23,47,35,16.1,21.9,1,,1,,
1/25/2010,11.18,0.06,44,29,21.9,25.9,1,,,,
1/26/2010,14.99,0,29,22,21.9,29.1,1,,,1,
1/27/2010,14.09,0,27,16,23,29.1,1,,,,
1/28/2010,14.54,0,25,6,25.1,36,,,,,
1/29/2010,5.14,0,20,2,8.9,13,,,,,
1/30/2010,4.47,0,21,5,12.1,17,,,,,
1/31/2010,9.84,0,29,4,23,28,,,,,
2/1/2010,2.91,0,27,2,12.1,14.1,,,,,
2/2/2010,3.36,0.03,30,14,10.1,13,1,,,1,
2/3/2010,5.37,0,33,21,15,18.1,1,1,,1,
